"","Name","EC","EC_all","EC_bin","EC_cat","Blue_R","Green_R","Red_R","NIR_R","SWIR1_R","SWIR2_R","NDVI","NDWI","NDSI1","NDSI2","SI1","SI2","SI3","SI4","SI5","SAVI","VSSI","NBR","NBG","NBNIR","NBSWIR1","NBSWIR2","NRSWIR1","NRSWIR2","NGSWIR1","NGSWIR2","NNIRSWIR1","NNIRSWIR2"
"39",24,1540,1540,0,1,0.0762375,0.1095675,0.11713,0.20271,0.19094,0.1599475,0.0333594327242251,-0.298268367077359,0.0883260304228563,-0.267571285642821,0.16038850942711,0.113285662265796,0.0944970813041334,0.216701323841468,0.650879364808333,0.56534,-1.380065,-0.211475558198767,-0.179381609752159,-0.453391767268034,-0.429311974249329,-0.354425556237695,-0.239588405232577,-0.154532576625673,-0.270783591091737,-0.186928371333692,0.0298996570557602,0.117914285517327
"40",25,2970,2970,1,1,0.070875,0.1033525,0.1080825,0.176695,0.1802425,0.1501575,0.0223709414240784,-0.261893071711049,0.0910562953995158,-0.240933711406273,0.149544528694633,0.105691043051197,0.0875234093685798,0.184781571200503,0.655749080563458,0.49577875,-1.2171825,-0.207912493189724,-0.186408574995336,-0.427434664943248,-0.435523211245732,-0.358691595127413,-0.250273129281193,-0.162929832713755,-0.2711260776812,-0.184627825332334,-0.00993871476098767,0.0811910571282153
"41",30,1860,1860,0,1,0.053055,0.08215,0.0740925,0.1303025,0.07896,0.04563,-0.0515704753828183,-0.226650663089396,0.267517457259812,-0.27500672717043,0.110626945434871,0.0780172985625624,0.0626975086227515,0.11752206915703,0.716064378985728,0.3628025,-0.857675,-0.165457441160856,-0.215191745867386,-0.421294465729517,-0.196227701397568,0.0752393980848155,-0.0318028127603271,0.237737267430934,0.019800136552666,0.285803725152606,0.245349740158891,0.481278331178151
"42",31,1480,1480,0,1,0.0569325,0.0884475,0.0845975,0.17686,0.1688575,0.1221625,-0.0222485480655322,-0.333245385072039,0.16045288983575,-0.352877618733446,0.122391573494665,0.0865010831218315,0.0693999075557742,0.169161523502643,0.672980880049647,0.48444875,-1.1303925,-0.195470924892249,-0.216776723070574,-0.512965557064491,-0.495703972718012,-0.36422010664731,-0.332445601783354,-0.181684078158251,-0.312508501583724,-0.160082617159679,0.0231475120582557,0.182921017649174
"43",32,1420,1420,0,1,0.0604525,0.0910875,0.08721,0.1311825,0.0763475,0.0596275,-0.0217473604509316,-0.180388716425968,0.122963780106637,-0.201346200075552,0.126105181321982,0.0891276661592796,0.0726089700037124,0.125598197612186,0.693183121201697,0.37156125,-0.9097875,-0.181207144671125,-0.202157846113237,-0.369087066558823,-0.116191520467836,0.00687041972018671,0.0664139522797793,0.187843704775687,0.088034162510825,0.208738347211625,0.264226858767407,0.375006551019339
"44",33,1070,1070,0,0,0.06103,0.0913625,0.086055,0.1963025,0.1600025,0.1063775,-0.0299153127509971,-0.364799332556967,0.201310158420302,-0.390453591634718,0.125509240421771,0.0886690472346467,0.072470246653368,0.184898745519223,0.709197606182093,0.53378375,-1.2290625,-0.170139715130707,-0.199041947602409,-0.525672039093391,-0.447773517469151,-0.270880934247271,-0.300529347815043,-0.105608460109389,-0.273069043025083,-0.0759330433903105,0.101879008153127,0.297095942910004
"46",35,1460,1460,0,1,0.0788775,0.10833,0.11372,0.1993275,0.1759525,0.14529,0.0242738122044585,-0.295775334584725,0.0954496992147678,-0.273464889513572,0.157059311408143,0.110992286218458,0.0947098162811015,0.209245114926613,0.693611501934576,0.55517875,-1.3485775,-0.180908371084775,-0.157325427667161,-0.432954116568717,-0.380940234666248,-0.296262839171602,-0.214837445736133,-0.121887185822941,-0.237870779946005,-0.145729832032174,0.0622868258367085,0.156804283009424
"47",36,2610,2610,1,1,0.0372975,0.1040125,0.1003,0.1697375,0.149305,0.11911,-0.0181706944019578,-0.240091324200913,0.112493713093531,-0.257140212007592,0.144494602515976,0.102139383931958,0.0611632181135035,0.163679089051797,0.371859421734796,0.47449375,-1.1421625,-0.457875324769709,-0.472118038355389,-0.639698601685705,-0.600246513310379,-0.523072742675383,-0.196330201718716,-0.085729912036826,-0.178797359045467,-0.0676646236932626,0.0640431917377778,0.175274149854162
"48",37,1990,1990,1,1,0.0738175,0.1146,0.101895,0.19919,0.1800225,0.1496075,-0.0586849580821726,-0.269575193600816,0.0922701210448079,-0.323147948253815,0.153348462740909,0.108060941139711,0.086727355329792,0.17710702486911,0.724446734383434,0.5489225,-1.276225,-0.159792274311731,-0.216447516817705,-0.45922731060502,-0.418393476205484,-0.339218977285443,-0.277128947298412,-0.18970984383853,-0.222055342005448,-0.13250002365565,0.0505455384513958,0.142152681713602
"49",38,1360,1360,0,0,0.0740375,0.11064,0.10349,0.2103825,0.176145,0.1441625,-0.0333909307430065,-0.310702520851342,0.0998493635022594,-0.340560259340974,0.151497160699467,0.107005297065145,0.0875336556702621,0.196786740103037,0.715407285728089,0.57770125,-1.3480825,-0.165903874047683,-0.198196856682596,-0.479379087265312,-0.408132063593577,-0.321379468377635,-0.259820837877948,-0.164232139792653,-0.228411527799571,-0.131562680899913,0.0885771387546812,0.186774598428972
