,Iteration,Model_Type,R2_Train,R2_Test,RMSE_Train,RMSE_Test,CI_Lower_Test,CI_Upper_Test
147,15,Stepwise,0.478048758,0.43444179,1267.894642,1217.49954,753.7023091,1692.42033
148,15,RandomForest,0.690637396,0.658857996,976.1175159,945.5788462,1029.558115,1742.910276
149,15,Bagging,0.713136027,0.658004468,939.9531402,946.7610133,1042.729521,1754.883005
150,15,ANN,-6.507391352,-20.80859471,4808.534392,7560.386373,-425.6989344,5324.213198
151,16,Lasso,0.432911019,-0.48189856,1410.967305,1075.227184,1138.372812,1892.063543
152,16,Ridge,0.36838234,-0.354279479,1489.081536,1027.886463,1251.545102,1932.861861
153,16,Log-Linear,-0.319836765,-1.686226042,2152.541123,1447.645669,759.9650921,1860.619459
154,16,OLS,0.553936815,-1.229486038,1251.380942,1318.843843,1159.609588,2082.565897
155,16,Quadratic_all,0.674369471,-5.061080204,1069.187575,2174.533052,713.7762229,2352.00895
156,16,Quadratic_correlated,0.575365437,-0.823814083,1220.953197,1192.83749,970.6999012,1851.536023
157,16,Stepwise,0.549660333,-1.343209668,1257.365232,1352.061894,1140.261422,2092.932882
158,16,RandomForest,0.749481244,-0.393973543,937.8026788,1042.841398,1119.185394,1855.209718
159,16,Bagging,0.766130474,-0.383553354,906.1042434,1038.936379,1056.262178,1806.57071
160,16,ANN,-5.848072321,-134.1596095,4903.153789,10268.67626,-3749.183657,4142.76279
161,17,Lasso,0.419120173,0.34827897,1310.561535,1433.872467,1138.587838,2205.886325
162,17,Ridge,0.326509999,0.301630099,1411.17166,1484.302486,1037.607521,2124.298244
163,17,Log-Linear,0.292659221,-9.5991653,1446.200868,5782.497991,221.2113917,4670.781085
164,17,OLS,0.575961818,0.090014754,1119.738863,1694.325447,1257.256433,2559.673885
165,17,Quadratic_all,0.639167857,-0.195018606,1032.920457,1941.632315,1124.895773,2616.237538
166,17,Quadratic_correlated,0.585527925,-0.134080683,1107.036417,1891.479482,1024.12887,2464.095928
167,17,Stepwise,0.568665038,0.086728594,1129.331912,1697.381983,1256.393457,2561.197506
168,17,RandomForest,0.740842144,0.280690951,875.3796762,1506.389986,1045.172803,2154.435011
169,17,Bagging,0.762147962,0.269458277,838.6248139,1518.106257,1022.989321,2136.858883
170,17,ANN,-6.205321279,-25.7213445,4615.735829,9181.397939,-2293.875081,4759.937408
171,18,Lasso,0.413811646,0.386085177,1337.436652,1335.831612,1130.683034,2140.249573
172,18,Ridge,0.335506494,0.356344211,1423.967242,1367.805976,1067.974897,2093.385467
173,18,Log-Linear,-0.235646997,-0.770432969,1941.788107,2268.492778,855.2891621,2599.81081
174,18,OLS,0.533240036,0.241892965,1193.4423,1484.440929,1273.241727,2417.36914
175,18,Quadratic_all,0.651617539,-0.182497931,1031.057223,1853.949293,1117.331024,2546.27679
176,18,Quadratic_correlated,0.53638509,0.453612356,1189.414765,1260.225002,1233.078489,2194.140658
177,18,Stepwise,0.517374749,0.158949107,1213.555514,1563.539275,1298.82012,2504.80515
