,Iteration,Model_Type,R2_Train,R2_Test,RMSE_Train,RMSE_Test,CI_Lower_Test,CI_Upper_Test
114,13,Stepwise,0.306158823,0.37134144,1565.339667,712.2783825,1124.931831,1769.222923
115,13,RandomForest,0.350036833,0.143736661,1515.035916,831.2774933,1253.038483,1962.756133
116,13,Bagging,0.475387645,-0.463106371,1361.12438,1086.626514,983.150081,1978.135057
117,13,ANN,-4.999035047,-46.94232531,4602.769804,6220.164846,-2213.11146,3562.609524
118,14,Lasso,0.448313315,-0.050944619,1250.021501,1979.409164,693.2480604,2537.396607
119,14,Ridge,0.323717821,0.062540207,1383.997175,1869.485006,735.3039776,2476.264801
120,14,Quantile Regression,0.431517989,-0.035858714,1268.906422,1869.485006,484.9812105,2292.641929
121,14,Log-Linear,0.381938732,-0.098402136,1323.082717,2023.607803,174.8908167,1963.6905
122,14,OLS,0.448334905,-0.054221961,1249.997041,1982.493128,690.9629478,2537.950964
123,14,Stepwise,0.448334905,-0.054221961,1249.997041,1982.493128,690.9629478,2537.950964
124,14,RandomForest,0.450421507,-0.018392631,1247.630826,1948.512899,658.7228907,2470.964054
125,14,Bagging,0.537694827,0.02036162,1144.288698,1911.078633,493.8878956,2247.337998
126,14,ANN,-6.488034204,-6.583071812,4605.270471,5317.019407,-1971.86828,2842.180152
127,15,Lasso,0.339179798,0.236374219,1465.873466,1255.366835,1352.507077,2510.595875
128,15,Ridge,0.267344051,0.361500625,1543.493724,1147.917292,1249.199443,2319.429307
129,15,Quantile Regression,0.302480397,0.289967894,1506.027967,1147.917292,1013.32065,2131.007271
130,15,Log-Linear,0.212550109,0.227816654,1600.170617,1262.381366,770.2444786,1881.010692
131,15,OLS,0.339194201,0.233408219,1465.857491,1257.802458,1352.187109,2512.464891
132,15,Stepwise,0.32951537,0.213654054,1476.553683,1273.905421,1373.936092,2545.332238
133,15,RandomForest,0.383409888,0.292038574,1415.966915,1208.746299,1252.064968,2377.779828
134,15,Bagging,0.475110271,0.211164386,1306.438183,1275.920498,1418.644545,2584.586845
135,15,ANN,-5.633895574,-19.80585131,4644.501884,6552.742546,-2221.092541,3828.368798
136,16,Lasso,0.278271402,0.329947685,1349.346564,1730.132632,966.3913649,2503.249109
137,16,Ridge,0.205623075,0.159118821,1415.630336,1938.172188,754.2641467,2454.670035
138,16,Quantile Regression,0.190074163,0.093634027,1429.417771,1938.172188,415.0867934,2018.373726
139,16,Log-Linear,0.167089319,0.047285727,1449.558564,2063.033961,339.6193595,1959.687315
140,16,OLS,0.279117624,0.344938744,1348.555282,1710.669051,992.1723117,2515.615042
141,16,Stepwise,0.266069882,0.332536514,1360.704764,1726.787108,995.3200023,2538.154157
142,16,RandomForest,0.295247087,0.148172871,1333.383234,1950.746224,728.3108957,2433.061273
143,16,Bagging,0.410006241,0.333503212,1220.001204,1725.536189,928.7629721,2446.200832
144,16,ANN,-8.005779747,-4.846639153,4766.47381,5110.67409,-2286.135534,1892.854227
145,17,Lasso,0.263998593,0.415136143,1449.395901,1458.209085,1196.300598,2550.955992
146,17,Ridge,0.231082066,0.333502612,1481.452399,1556.652356,1075.858121,2526.909573
147,17,Quantile Regression,0.131836594,0.235931475,1574.158448,1556.652356,557.2464997,2058.763154
148,17,Log-Linear,0.156234581,0.354892463,1551.881541,1531.4699,578.4369086,1933.686912
149,17,OLS,0.272277838,0.469493966,1441.220752,1388.793168,1281.128502,2565.445141
150,17,Stepwise,0.270097703,0.444065026,1443.377967,1421.688353,1268.504828,2583.443765
151,17,RandomForest,0.32088999,0.327161849,1392.25175,1564.039481,1019.791372,2478.81658
152,17,Bagging,0.390767591,0.551839275,1318.679351,1276.466156,1219.805739,2408.606963
153,17,ANN,-5.607561488,-7.578379678,4342.784839,5584.63816,-2167.696284,2879.330901
154,18,Lasso,0.307559849,0.291552114,1319.07838,1829.043737,713.6506217,2330.482277
155,18,Ridge,0.2577436,0.169443748,1365.703606,1980.407955,635.7283237,2399.667992
156,18,Quantile Regression,0.270718298,0.18031505,1353.714682,1980.407955,400.5934184,2038.975777
157,18,Log-Linear,0.212200213,-0.001309817,1406.978336,2174.474771,105.2405448,1834.625151
158,18,OLS,0.307574774,0.293007454,1319.064163,1827.164099,714.9713097,2330.100112
159,18,Stepwise,0.307574774,0.293007454,1319.064163,1827.164099,714.9713097,2330.100112
160,18,RandomForest,0.345596869,0.150992024,1282.336975,2002.285587,629.1142575,2415.774059
161,18,Bagging,0.432059805,0.320053787,1194.622757,1791.873785,736.8736075,2318.938089
162,18,ANN,-7.319932568,-5.456331181,4572.349127,5521.575768,-1816.644169,3156.957746
163,19,Lasso,0.351369389,0.220770045,1428.526109,1393.476231,791.6855777,2084.703602
164,19,Ridge,0.290346332,0.212407542,1494.213611,1400.933498,876.1415916,2182.110019
165,19,Quantile Regression,0.30514743,0.225038507,1478.549253,1400.933498,596.9794376,1849.461458
166,19,Log-Linear,0.217420494,0.24764775,1569.11111,1369.233,388.7575889,1525.405707
167,19,OLS,0.351384577,0.219153577,1428.509384,1394.920826,788.329366,2082.427734
